Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,total_duration,total_pages,avg_duration_per_page,product_page_ratio,productrelated_intent,total_duration_level,is_returning
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,1,1,1,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,2,64.0,0.0,0.1,0.0,0.0,2,2,2,1,2,Returning_Visitor,0,0,64.0,2,32.0,1.0,low,low,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,4,1,9,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,2,2.666666667,0.05,0.14,0.0,0.0,2,3,2,2,4,Returning_Visitor,0,0,2.67,2,1.34,1.0,low,low,1
0,0.0,0,0.0,10,627.5,0.02,0.05,0.0,0.0,2,3,3,1,4,Returning_Visitor,1,0,627.5,10,62.75,1.0,high,medium,1
0,0.0,0,0.0,19,154.2166667,0.015789474,0.024561404,0.0,0.0,2,2,2,1,3,Returning_Visitor,0,0,154.22,19,8.12,1.0,low,low,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,2,2,4,3,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
1,0.0,0,0.0,0,0.0,0.2,0.2,0.0,0.0,2,1,2,1,5,Returning_Visitor,1,0,0.0,1,0.0,0.0,low,low,1
0,0.0,0,0.0,2,37.0,0.0,0.1,0.0,0.8,2,2,2,2,3,Returning_Visitor,0,0,37.0,2,18.5,1.0,low,low,1
0,0.0,0,0.0,3,738.0,0.0,0.022222222,0.0,0.4,2,2,4,1,2,Returning_Visitor,0,0,738.0,3,246.0,1.0,high,high,1
0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,2,1,1,3,3,Returning_Visitor,0,0,395.0,3,131.67,1.0,medium,medium,1
0,0.0,0,0.0,16,407.75,0.01875,0.025833333,0.0,0.4,2,1,1,4,3,Returning_Visitor,0,0,407.75,16,25.48,1.0,medium,medium,1
0,0.0,0,0.0,7,280.5,0.0,0.028571429,0.0,0.0,2,1,1,1,3,Returning_Visitor,0,0,280.5,7,40.07,1.0,medium,medium,1
0,0.0,0,0.0,6,98.0,0.0,0.066666667,0.0,0.0,2,2,5,1,3,Returning_Visitor,0,0,98.0,6,16.33,1.0,low,low,1
0,0.0,0,0.0,2,68.0,0.0,0.1,0.0,0.0,2,3,2,3,3,Returning_Visitor,0,0,68.0,2,34.0,1.0,low,low,1
2,53.0,0,0.0,23,1668.285119,0.008333333,0.016312636,0.0,0.0,2,1,1,9,3,Returning_Visitor,0,0,1721.29,25,68.85,0.92,very_high,very_high,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,1,1,4,3,Returning_Visitor,0,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,13,334.9666667,0.0,0.007692308,0.0,0.0,2,1,1,1,4,Returning_Visitor,1,0,334.97,13,25.77,1.0,medium,medium,1
0,0.0,0,0.0,2,32.0,0.0,0.1,0.0,0.0,2,2,2,1,3,Returning_Visitor,0,0,32.0,2,16.0,1.0,low,low,1
0,0.0,0,0.0,20,2981.166667,0.0,0.01,0.0,0.0,2,2,4,4,4,Returning_Visitor,0,0,2981.17,20,149.06,1.0,very_high,very_high,1
0,0.0,0,0.0,8,136.1666667,0.0,0.008333333,0.0,1.0,2,2,2,5,1,Returning_Visitor,1,0,136.17,8,17.02,1.0,low,low,1
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,2,3,3,1,3,Returning_Visitor,0,0,0.0,2,0.0,1.0,low,low,1
0,0.0,0,0.0,3,105.0,0.0,0.033333333,0.0,0.0,2,3,2,1,5,Returning_Visitor,0,0,105.0,3,35.0,1.0,low,low,1
0,0.0,0,0.0,2,15.0,0.0,0.1,0.0,0.8,2,2,4,1,3,Returning_Visitor,0,0,15.0,2,7.5,1.0,low,low,1
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,2,2,2,4,1,Returning_Visitor,1,0,0.0,1,0.0,1.0,low,low,1
0,0.0,0,0.0,5,156.0,0.0,0.04,0.0,0.0,2,1,1,9,3,Returning_Visitor,0,0,156.0,5,31.2,1.0,low,low,1
4,64.6,0,0.0,32,1135.444444,0.002857143,0.00952381,0.0,0.0,2,2,2,1,3,Returning_Visitor,0,0,1200.04,36,33.33,0.8888888888888888,high,high,1
0,0.0,0,0.0,4,76.0,0.05,0.1,0.0,0.0,2,1,1,1,3,Returning_Visitor,0,0,76.0,4,19.0,1.0,low,low,1
0,0.0,0,0.0,4,63.0,0.0,0.05,0.0,0.2,2,2,6,1,3,Returning_Visitor,0,0,63.0,4,15.75,1.0,low,low,1
1,6.0,1,0.0,45,1582.75,0.043478261,0.050821256,54.17976426,0.4,2,3,2,1,1,Returning_Visitor,0,0,1588.75,47,33.8,0.9574468085106383,very_high,high,1
0,0.0,0,0.0,2,35.0,0.0,0.1,0.0,0.0,2,1,1,6,3,Returning_Visitor,0,0,35.0,2,17.5,1.0,low,low,1
0,0.0,0,0.0,3,78.0,0.0,0.066666667,0.0,0.0,2,1,2,6,6,Returning_Visitor,1,0,78.0,3,26.0,1.0,low,low,1
0,0.0,0,0.0,8,209.5,0.0,0.025,0.0,0.0,2,2,2,1,1,Returning_Visitor,0,0,209.5,8,26.19,1.0,medium,low,1
